method,policy_run,loss_mask_id,packet_loss,n_available,n_tx_attempts,n_delivered,attempt_rate,delivery_rate,attempt_based_reduction,transmission_reduction,mae,event_recall,precision,f1,aoi,configuration,result_source,source,packet_loss_mode,notes
fixed_60,deterministic,0.0,0.0,206815.0,51149.0,51149.0,0.24731765104078524,0.24731765104078524,0.7526823489592147,0.7526823489592147,11.335269101794868,0.887409200968523,0.8563084112149533,0.8715814506539834,1.88528611413466,interval_steps=4 (60 min),new_evaluation,revision_eval,none,"Shared (t,sensor) drop mask id=0 seed=20260317; cost counted on attempts"
fixed_75,deterministic,0.0,0.0,206815.0,41325.0,41325.0,0.1998162609095085,0.1998162609095085,0.8001837390904916,0.8001837390904916,11.755109070034443,0.8849878934624698,0.8431372549019608,0.8635558180744242,2.3895933758357955,interval_steps=5 (75 min),new_evaluation,revision_eval,none,"Shared (t,sensor) drop mask id=0 seed=20260317; cost counted on attempts"
delta_plus_heartbeat,deterministic,0.0,0.0,206815.0,56198.0,56198.0,0.2717307738800377,0.2717307738800377,0.7282692261199624,0.7282692261199624,9.224011897727348,0.9903147699757868,0.9500580720092916,0.9697688203912268,1.4430765044316591,"delta_ppm=25,heartbeat=3",new_evaluation,revision_eval,none,"Shared (t,sensor) drop mask id=0 seed=20260317; cost counted on attempts"
semantic_expert,deterministic,0.0,0.0,206815.0,53994.0,53994.0,0.2610739066315306,0.2610739066315306,0.7389260933684694,0.7389260933684694,7.218922792024657,0.9987893462469734,0.9880239520958084,0.9933774834437086,1.748631628051625,frozen_expert_thresholds,new_evaluation,revision_eval,none,"Shared (t,sensor) drop mask id=0 seed=20260317; cost counted on attempts"
cmappo_kl,42,0.0,0.0,206815.0,44162.0,44162.0,0.21353383458646616,0.21353383458646616,0.7864661654135339,0.7864661654135339,8.922798841705964,0.9927360774818402,0.973871733966746,0.9832134292565948,2.014538951951485,tau=0.5,new_evaluation,revision_eval,none,Shared slot mask id=0 seed=20260317; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,123,0.0,0.0,206815.0,47548.0,47548.0,0.2299059545971037,0.2299059545971037,0.7700940454028963,0.7700940454028963,8.540526286047957,0.99636803874092,0.9891826923076924,0.9927623642943304,1.8489231845747165,tau=0.5,new_evaluation,revision_eval,none,Shared slot mask id=0 seed=20260317; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,2024,0.0,0.0,206815.0,44543.0,44543.0,0.21537606073060464,0.21537606073060464,0.7846239392693953,0.7846239392693953,8.794406921711694,0.9939467312348668,0.985594237695078,0.9897528631705848,2.0183874980562897,tau=0.5,new_evaluation,revision_eval,none,Shared slot mask id=0 seed=20260317; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,3407,0.0,0.0,206815.0,46486.0,46486.0,0.22477093054178857,0.22477093054178857,0.7752290694582115,0.7752290694582115,8.72362454702518,0.9951573849878934,0.9891696750902528,0.992154496077248,1.8992691649821176,tau=0.5,new_evaluation,revision_eval,none,Shared slot mask id=0 seed=20260317; eval seed 42 for mask fairness; policy identity in policy_run
cmappo_kl,9999,0.0,0.0,206815.0,46927.0,46927.0,0.22690327103933466,0.22690327103933466,0.7730967289606654,0.7730967289606654,8.730661463024116,0.9939467312348668,0.986778846153846,0.9903498190591074,1.8583385165604105,tau=0.5,new_evaluation,revision_eval,none,Shared slot mask id=0 seed=20260317; eval seed 42 for mask fairness; policy identity in policy_run
fixed_60,deterministic,0.0,0.1,206815.0,51149.0,45974.0,0.24731765104078524,0.22229528805937673,0.7526823489592147,0.7526823489592147,11.908717304667343,0.8789346246973365,0.8551236749116607,0.8668656716417911,2.334104338361064,interval_steps=4 (60 min),new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=0 seed=20260317; cost counted on attempts"
fixed_75,deterministic,0.0,0.1,206815.0,41325.0,37120.0,0.1998162609095085,0.17948407997485677,0.8001837390904916,0.8001837390904916,12.387919502637084,0.8825665859564165,0.8312428734321551,0.8561362301820318,2.94695226247862,interval_steps=5 (75 min),new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=0 seed=20260317; cost counted on attempts"
delta_plus_heartbeat,deterministic,0.0,0.1,206815.0,60310.0,54204.0,0.29161327756690764,0.26208930686845733,0.7083867224330924,0.7083867224330924,9.493994535125251,0.9842615012106536,0.9398843930635838,0.9615612063867534,1.517349556834085,"delta_ppm=25,heartbeat=3",new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=0 seed=20260317; cost counted on attempts"
semantic_expert,deterministic,0.0,0.1,206815.0,57480.0,51701.0,0.2779295505645142,0.24998670309213547,0.7220704494354858,0.7220704494354858,7.613645447864151,0.9915254237288136,0.9761620977353992,0.9837837837837838,1.82707588244441,frozen_expert_thresholds,new_evaluation,revision_eval,independent_slots,"Shared (t,sensor) drop mask id=0 seed=20260317; cost counted on attempts"
cmappo_kl,42,0.0,0.1,206815.0,47639.0,42873.0,0.23034596136643862,0.20730121122742548,0.7696540386335614,0.7696540386335614,9.191165168169231,0.9878934624697336,0.966824644549763,0.977245508982036,2.0840071528533666,tau=0.5,new_evaluation,revision_eval,independent_slots,Shared slot mask id=0 seed=20260317; eval seed 42 for mask fairness; policy identity in policy_run
